title,doi,doi_candidate,pmid,access_status,downloadable,pdf_reachable,in_local_library,match_type,local_pdf_path,pdf_url,verification_status,collision_risk
Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids.,,10.1016/j.xpro.2024.103090,,open,true,false,false,,,https://doi.org/10.1016/j.xpro.2024.103090,retrieved,low
Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids,,,,unknown,false,false,false,,,,retrieved,low
Abstract 199: Novel platform for automation of high throughput drug discovery using patient derived colorectal cancer organoids,,10.1158/1538-7445.am2023-199,,unknown,false,false,false,,,,retrieved,low
Generation of iPSC-Derived Brain Organoids for Drug Testing and Toxicological Evaluation,,10.1007/978-1-0716-2213-1_10,,unknown,false,false,false,,,,retrieved,low
Decision letter: Targeting mutant RAS in patient-derived colorectal cancer organoids by combinatorial drug screening,,10.7554/elife.18489.040,,open,true,false,false,,,https://doi.org/10.7554/elife.18489.040,retrieved,low
Fluid-Derived Organoids from Pleural Effusion and Ascites: Emerging Models for Drug Resistance and Personalized Oncology.,,10.7150/jca.127511,,open,true,true,false,,,https://www.jcancer.org/v17p0614.pdf,retrieved,low
Patient-Derived Xenograft Models: An Emerging Platform for Translational Cancer Research,,10.1158/2159-8290.cd-14-0001,,open,true,false,false,,,https://cancerdiscovery.aacrjournals.org/content/candisc/4/9/998.full.pdf,retrieved,low
"Patient-derived tumor organoids: advances, applications, and future directions in biomedical research.",,10.3389/fmed.2025.1733668,,open,true,true,false,,,https://public-pages-files-2025.frontiersin.org/journals/medicine/articles/10.3389/fmed.2025.1733668/pdf,retrieved,low
Patient-derived organoids (PDOs): a novel preclinical platform to overcome challenges in cancer immunotherapy.,,10.3389/fcell.2026.1757516,,open,true,false,false,,,https://doi.org/10.3389/fcell.2026.1757516,retrieved,low
"Organoids in Cancer Research and Regenerative Medicine: Current Status, Challenges, and Future Prospects.",,10.1002/mco2.70575,,open,true,false,false,,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mco2.70575,retrieved,low
Minimal information for studies of extracellular vesicles 2018 (MISEV2018): a position statement of the International Society for Extracellular Vesicles and update of the MISEV2014 guidelines,,10.1080/20013078.2018.1535750,,open,true,false,false,,,https://www.tandfonline.com/doi/pdf/10.1080/20013078.2018.1535750?needAccess=true,retrieved,low
Three-dimensional in vitro cell culture models in drug discovery and drug repositioning,,10.3389/fphar.2018.00006,,open,true,true,false,,,https://www.frontiersin.org/articles/10.3389/fphar.2018.00006/pdf,retrieved,low
Long-term expanding human airway organoids for disease modeling,,10.15252/embj.2018100300,,open,true,false,false,,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.2018100300,retrieved,low
Engineering organoids,,10.1038/s41578-021-00279-y,,open,true,false,false,,,https://www.nature.com/articles/s41578-021-00279-y.pdf,retrieved,low
Organoids,,10.1038/s43586-022-00174-y,,open,true,false,false,,,https://www.nature.com/articles/s43586-022-00174-y.pdf,retrieved,low
Biological properties of extracellular vesicles and their physiological functions,,10.3402/jev.v4.27066,,open,true,false,false,,,https://www.tandfonline.com/doi/pdf/10.3402/jev.v4.27066?needAccess=true&role=button,retrieved,low
"Applications of genome editing technology in the targeted therapy of human diseases: mechanisms, advances and prospects",,10.1038/s41392-019-0089-y,,open,true,true,false,,,https://www.nature.com/articles/s41392-019-0089-y.pdf,retrieved,low
,,10.1117/12.3000978.a7aff37d-a624-ee11-a99a-b38e0bc17c27,,unknown,false,false,false,,,,retrieved,low
