citation_key	first_author	year	title	journal	doi	doi_candidate	pmid	source	source_hits	local_hit	collision_prone_author_year	collision_risk	collision_group_id	verification_status	metadata_locked	doi_locked	requires_title_journal_doi_lock	record_status	verification_priority	promotion_ready	mapping_target_suggestion	role_hint	overreach_risk	download_routing_class	download_candidate	target_zotero_subdir	local_duplicate_risk	notes
10.1016_j.xpro.2024.103090	Tao Tan	2024	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids.			10.1016/j.xpro.2024.103090		pubmed	pubmed	false	false	low		retrieved	false	false	true	candidate	medium	false	paper_only	retrieval_candidate	high	review_first	true	_incoming_shawn_bio_search/review_needed	medium	retrieval output is provisional until downstream bibliographic verification is completed
nd_Protocol_for_generation_of_and_high-thro_2	T Tan		Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids					google_scholar	google_scholar	false	false	low		retrieved	false	false	true	candidate	medium	false	paper_only	retrieval_candidate	high	blocked	false		medium	retrieval output is provisional until downstream bibliographic verification is completed
10.1158_1538-7445.am2023-199	Angeline Lim	2023	Abstract 199: Novel platform for automation of high throughput drug discovery using patient derived colorectal cancer organoids			10.1158/1538-7445.am2023-199		crossref	crossref	false	false	low		retrieved	false	false	true	candidate	medium	false	paper_only	retrieval_candidate	high	blocked	false		medium	retrieval output is provisional until downstream bibliographic verification is completed
10.1007_978-1-0716-2213-1_10	Ha Nam Nguyen	2022	Generation of iPSC-Derived Brain Organoids for Drug Testing and Toxicological Evaluation			10.1007/978-1-0716-2213-1_10		crossref	crossref	false	false	low		retrieved	false	false	true	candidate	medium	false	paper_only	retrieval_candidate	high	blocked	false		medium	retrieval output is provisional until downstream bibliographic verification is completed
10.7554_elife.18489.040		2016	Decision letter: Targeting mutant RAS in patient-derived colorectal cancer organoids by combinatorial drug screening			10.7554/elife.18489.040		crossref	crossref	false	false	low		retrieved	false	false	true	candidate	medium	false	paper_only	retrieval_candidate	high	review_first	true	_incoming_shawn_bio_search/review_needed	medium	retrieval output is provisional until downstream bibliographic verification is completed
10.7150_jca.127511	Chen Y	2026	Fluid-Derived Organoids from Pleural Effusion and Ascites: Emerging Models for Drug Resistance and Personalized Oncology.			10.7150/jca.127511		europe_pmc	europe_pmc	false	false	low		retrieved	false	false	true	candidate	medium	false	paper_only	retrieval_candidate	high	review_first	true	_incoming_shawn_bio_search/review_needed	medium	retrieval output is provisional until downstream bibliographic verification is completed
10.1158_2159-8290.cd-14-0001	Manuel Hidalgo	2014	Patient-Derived Xenograft Models: An Emerging Platform for Translational Cancer Research			10.1158/2159-8290.cd-14-0001		openalex	openalex	false	false	low		retrieved	false	false	true	candidate	medium	false	paper_only	retrieval_candidate	high	review_first	true	_incoming_shawn_bio_search/review_needed	medium	retrieval output is provisional until downstream bibliographic verification is completed
10.3389_fmed.2025.1733668	Acar A.	2025	Patient-derived tumor organoids: advances, applications, and future directions in biomedical research.			10.3389/fmed.2025.1733668		europe_pmc	europe_pmc	false	false	low		retrieved	false	false	true	candidate	medium	false	paper_only	retrieval_candidate	high	review_first	true	_incoming_shawn_bio_search/review_needed	medium	retrieval output is provisional until downstream bibliographic verification is completed
10.3389_fcell.2026.1757516	Ni D	2026	Patient-derived organoids (PDOs): a novel preclinical platform to overcome challenges in cancer immunotherapy.			10.3389/fcell.2026.1757516		europe_pmc	europe_pmc	false	false	low		retrieved	false	false	true	candidate	medium	false	paper_only	retrieval_candidate	high	review_first	true	_incoming_shawn_bio_search/review_needed	medium	retrieval output is provisional until downstream bibliographic verification is completed
10.1002_mco2.70575	Li R	2026	Organoids in Cancer Research and Regenerative Medicine: Current Status, Challenges, and Future Prospects.			10.1002/mco2.70575		europe_pmc	europe_pmc	false	false	low		retrieved	false	false	true	candidate	medium	false	paper_only	retrieval_candidate	high	review_first	true	_incoming_shawn_bio_search/review_needed	medium	retrieval output is provisional until downstream bibliographic verification is completed
