title,doi,doi_candidate,pmid,access_status,downloadable,pdf_reachable,in_local_library,match_type,local_pdf_path,pdf_url,verification_status,collision_risk
"Effects of Raloxifene on Bone Mineral Density, Serum Cholesterol Concentrations, and Uterine Endometrium in Postmenopausal Women",,10.1056/nejm199712043372301,,open,true,false,false,,,https://www.nejm.org/doi/pdf/10.1056/NEJM199712043372301?articleTools=true,retrieved,low
"Uterine Neoplasms, Version 1.2018, NCCN Clinical Practice Guidelines in Oncology",,10.6004/jnccn.2018.0006,,open,true,false,false,,,https://jnccn.org/downloadpdf/journals/jnccn/16/2/article-p170.pdf,retrieved,low
Clinical implications of uterine malformations and hysteroscopic treatment results,,10.1093/humupd/7.2.161,,open,true,false,false,,,https://academic.oup.com/humupd/article-pdf/7/2/161/1788153/070161.pdf,retrieved,low
The Frequency of Uterine Leiomyomas,,10.1093/ajcp/94.4.435,,unknown,false,false,false,,,,retrieved,low
Defining postpartum uterine disease in cattle,,10.1016/j.theriogenology.2005.08.021,,unknown,false,false,false,,,,retrieved,low
High cumulative incidence of uterine leiomyoma in black and white women: Ultrasound evidence,,10.1067/mob.2003.99,,unknown,false,false,false,,,,retrieved,low
"Long-term, hormone-responsive organoid cultures of human endometrium in a chemically defined medium",,10.1038/ncb3516,,open,true,false,false,,,http://hdl.handle.net/20.500.11820/8202c060-a3a7-4837-b77d-cb0f94c70993,retrieved,low
Uterine fibroids,,10.1016/s0140-6736(00)03622-9,,unknown,false,false,false,,,,retrieved,low
Transplantation of human endometrial perivascular stem cells with hydroxy saffron yellow A promotes uterine repair in rats.,,10.1186/s13287-024-03821-1,,open,true,true,false,,,https://stemcellres.biomedcentral.com/counter/pdf/10.1186/s13287-024-03821-1,retrieved,low
Human Endometrium-Derived Adventitial Cell Spheroid-Loaded Antimicrobial Microneedles for Uterine Regeneration.,,10.1002/smll.202201225,,unknown,false,false,false,,,,retrieved,low
A Decellularized Uterine Endometrial Scaffold Enhances Regeneration of the Endometrium in Rats.,,10.3390/ijms24087605,,open,true,false,false,,,https://www.mdpi.com/1422-0067/24/8/7605/pdf?version=1681993317,retrieved,low
Endometrial Epithelial ARID1A Is Required for Uterine Immune Homeostasis during Early Pregnancy.,,10.3390/ijms23116067,,open,true,false,false,,,https://www.mdpi.com/1422-0067/23/11/6067/pdf?version=1653890828,retrieved,low
Uterine Epithelial Progesterone Receptor Governs Uterine Receptivity Through Epithelial Cell Differentiation.,,10.1210/endocr/bqaa195,,open,true,false,false,,,https://academic.oup.com/endo/article-pdf/161/12/bqaa195/41812431/bqaa195.pdf,retrieved,low
Development and Function of Uterine Glands in Domestic Animals.,,10.1146/annurev-animal-020518-115321,,unknown,false,false,false,,,,retrieved,low
Relaxin--a review.,,,,unknown,false,false,false,,,,retrieved,low
Extracellular matrix and pregnancy: functions and opportunities caught in the net.,,10.1186/s12958-025-01348-5,,open,true,true,false,,,https://rbej.biomedcentral.com/counter/pdf/10.1186/s12958-025-01348-5,retrieved,low
Endometrial Organoids and Their Role in Modeling Human Infertility.,,10.3390/cells14110829,,open,true,false,false,,,https://www.mdpi.com/2073-4409/14/11/829/pdf?version=1748941762,retrieved,low
Research on the mechanism of human umbilical cord mesenchymal stem cells and their extracellular vesicles in the treatment of common reproductive diseases.,,10.1186/s13287-025-04773-w,,open,true,true,false,,,https://stemcellres.biomedcentral.com/counter/pdf/10.1186/s13287-025-04773-w,retrieved,low
"Unlocking the Secrets of the Endometrium: Stem Cells, Niches and Modern Methodologies.",,10.3390/biomedicines13102435,,open,true,false,false,,,https://www.mdpi.com/2227-9059/13/10/2435/pdf?version=1759764827,retrieved,low
Beneficial Effects of Infiltration of Platelet-Rich Plasma in the Endometrium.,,10.3390/biology14040319,,open,true,false,false,,,https://www.mdpi.com/2079-7737/14/4/319/pdf?version=1742563751,retrieved,low
Novel Aspects of the Physiology of Pregnancy in Domestic Ruminants.,,10.3390/ani15182672,,open,true,false,false,,,https://www.mdpi.com/2076-2615/15/18/2672/pdf?version=1757666588,retrieved,low
New models of implantation: towards a whole better than the sum of parts.,,10.1093/humrep/deaf223,,open,true,false,false,,,https://academic.oup.com/humrep/advance-article-pdf/doi/10.1093/humrep/deaf223/65357643/deaf223.pdf,retrieved,low
Therapeutic targeting of interleukin-17C signaling in carcinogenesis of endometriosis.,,10.1016/j.xcrm.2025.102464,,open,true,false,false,,,https://doi.org/10.1016/j.xcrm.2025.102464,retrieved,low
Progesterone-Progestin receptors.,,,,unknown,false,false,false,,,,retrieved,low
